"From"	"To"
"1555272_at"	"RSPH10B"
"1555278_a_at"	"CKAP5"
"1555303_at"	NA
"1555323_at"	"ABCB9"
"1555326_a_at"	"ADAM9"
"1555334_s_at"	"SLC30A5"
"1555349_a_at"	"ITGB2"
"1555355_a_at"	"ETS1"
"1555360_a_at"	"DNAJC11"
"1555363_s_at"	"LINC00663"
"1555372_at"	"BCL2L11"
"1555392_at"	NA
"1555411_a_at"	"CCNL1"
"1555419_a_at"	"ASAH1"
"1555420_a_at"	"KLF7"
"1555426_a_at"	"OTUD5"
"1555427_s_at"	"SYNCRIP"
"1555460_a_at"	"SLC39A6"
"1555467_a_at"	"CELF1"
"1555480_a_at"	"FBLIM1"
"1555486_a_at"	"PRR5L"
"1555491_a_at"	"SHFL"
"1555495_a_at"	"CWC27"
"1555501_s_at"	"RSRC1"
"1555522_s_at"	"MEMO1"
"1555522_s_at"	"DPY30"
"1555526_a_at"	"SEPTIN6"
"1555543_a_at"	"CLCC1"
"1555564_a_at"	"CFI"
"1555565_s_at"	"TAPBP"
"1555575_a_at"	"KDELR1"
"1555579_s_at"	"PTPRM"
"1555611_s_at"	"MBD1"
"1555618_s_at"	"SAE1"
"1555630_a_at"	"RAB34"
"1555638_a_at"	"SAMSN1"
"1555653_at"	NA
"1555705_a_at"	"CMTM3"
"1555724_s_at"	"TAGLN"
"1555725_a_at"	"RGS5"
"1555728_a_at"	"MS4A4A"
"1555730_a_at"	"CFL1"
"1555736_a_at"	"AGTRAP"
"1555743_s_at"	"ERVH"
"1555745_a_at"	"LYZ"
"1555751_a_at"	"GEMIN7"
"1555758_a_at"	"CDKN3"
"1555759_a_at"	"CCL5"
"1555760_a_at"	"RBM15"
"1555761_x_at"	"RBM15"
"1555762_s_at"	"RBM15"
"1555764_s_at"	"TIMM10"
"1555778_a_at"	"POSTN"
"1555780_a_at"	"RHEB"
"1555789_s_at"	"PHF23"
"1555790_a_at"	"TMEM192"
"1555790_a_at"	"ZNF320"
"1555793_a_at"	"ZFP82"
"1555797_a_at"	"ARPC5"
"1555803_a_at"	"NKAPD1"
"1555812_a_at"	"ARHGDIB"
"1555814_a_at"	"RHOA"
"1555815_a_at"	"L3MBTL2"
"1555823_at"	"PACS2"
"1555824_a_at"	"PACS2"
"1555827_at"	"CCNL1"
"1555831_s_at"	"LRRC41"
"1555832_s_at"	"KLF6"
"1555833_a_at"	"IRGQ"
"1555837_s_at"	"POLR2B"
"1555841_at"	"MSANTD3"
"1555842_at"	"CYTH2"
"1555844_s_at"	"HNRNPM"
"1555845_at"	NA
"1555846_a_at"	NA
"1555847_a_at"	"MIR23AHG"
"1555851_s_at"	"SELENOW"
"1555852_at"	"PSMB8"
"1555864_s_at"	"PDHA1"
"1555872_a_at"	"GLIDR"
"1555874_x_at"	"GLIDR"
"1555878_at"	"RPS24"
"1555881_s_at"	"LZTS2"
"1555886_at"	"PDSS2"
"1555889_a_at"	"CRTAP"
"1555892_s_at"	"CUTALP"
"1555896_a_at"	"ADAM15"
"1555906_s_at"	"TCAIM"
"1555910_at"	"PTCD2"
"1555913_at"	"GON4L"
"1555916_at"	"RPUSD3"
"1555933_at"	"KIAA2013"
"1555938_x_at"	"VIM"
"1555945_s_at"	"FAM120A"
"1555948_s_at"	"FAM120A"
"1555950_a_at"	"CD55"
"1555960_at"	"HINT1"
"1555961_a_at"	"HINT1"
"1555962_at"	"B3GNT7"
"1555967_at"	NA
"1555968_a_at"	NA
"1555970_at"	"FBXO28"
"1555971_s_at"	"FBXO28"
"1555989_at"	"DAAM1"
"1556000_s_at"	"BTBD7"
"1556006_s_at"	"CSNK1A1"
"1556007_s_at"	NA
"1556034_s_at"	"MTMR11"
"1556035_s_at"	"ZNF207"
"1556042_s_at"	"LINC01089"
"1556049_at"	"RTN4"
"1556051_a_at"	"BICD1"
"1556053_at"	"DNAJC7"
"1556055_at"	NA
"1556059_s_at"	"SPEN"
"1556060_a_at"	"ZNF451"
"1556061_at"	"RPP30"
"1556121_at"	"NAP1L1"
"1556151_at"	"ITFG1"
"1556180_at"	"LINC00847"
"1556186_s_at"	"EMC1"
"1556202_at"	"SRGAP2"
"1556203_a_at"	"SRGAP2"
"1556211_a_at"	"AIG1"
"1556242_a_at"	"LOC100310756"
"1556277_a_at"	"TENT2"
"1556283_s_at"	"FGFR1OP2"
"1556285_s_at"	"PPA2"
"1556306_at"	NA
"1556325_at"	"FILIP1"
"1556336_at"	"RBMX"
"1556339_a_at"	NA
"1556345_s_at"	NA
"1556352_at"	NA
"1556373_a_at"	"FAM185A"
"1556385_at"	NA
"1556389_at"	"CNPY3"
"1556416_s_at"	NA
"1556425_a_at"	NA
"1556427_s_at"	"LRRN4CL"
"1556442_x_at"	NA
"1556493_a_at"	"KDM4C"
"1556499_s_at"	"COL1A1"
"1556543_at"	NA
"1556551_s_at"	"SLC39A6"
"1556568_a_at"	NA
"1556590_s_at"	NA
"1556595_at"	NA
"1556646_at"	"DCTN5"
"1556656_at"	NA
"1556657_at"	NA
"1556658_a_at"	NA
"1556672_a_at"	"RBM6"
"1556682_s_at"	NA
"1556683_x_at"	NA
"1556728_at"	NA
"1556739_at"	"GOLGA8IP"
"1556744_a_at"	NA
"1556818_at"	NA
"1556820_a_at"	"DLEU2"
"1556821_x_at"	"DLEU2"
"1556931_at"	"CDC42"
"1556935_at"	NA
"1556951_at"	NA
"1556959_at"	"ANHX"
"1556988_s_at"	"CHD1L"
"1556989_at"	NA
"1557049_at"	"BTBD19"
"1557051_s_at"	"HOTAIRM1"
"1557053_s_at"	"UBE2G2"
"1557055_s_at"	"LINC01128"
"1557064_s_at"	"HGSNAT"
"1557065_at"	"YLPM1"
"1557067_s_at"	"LUC7L"
"1557071_s_at"	"NUB1"
"1557073_s_at"	"TTBK2"
"1557080_s_at"	"ITGBL1"
"1557081_at"	"RBM25"
"1557100_s_at"	"HECTD1"
"1557116_at"	"APOL6"
"1557121_s_at"	"HEATR6"
"1557145_at"	"STK38"
"1557155_a_at"	NA
"1557172_x_at"	"NEK8"
"1557185_at"	"TPCN1"
"1557186_s_at"	"TPCN1"
"1557193_at"	NA
"1557227_s_at"	"TPR"
"1557228_at"	"EHBP1L1"
"1557238_s_at"	NA
"1557240_a_at"	NA
"1557242_at"	NA
"1557263_s_at"	"AP1G2"
"1557270_at"	NA
"1557293_at"	"MIR570HG"
"1557300_s_at"	NA
"1557302_at"	"ZNF585B"
"1557316_at"	NA
"1557350_at"	"G3BP1"
"1557353_at"	NA
"1557360_at"	"LRPPRC"
"1557370_s_at"	"MYCBP2"
"1557384_at"	"ZNF131"
"1557394_at"	"DLGAP4"
"1557411_s_at"	"SLC25A43"
"1557418_at"	"ACSL4"
"1557419_a_at"	"ACSL4"
"1557432_at"	"RASAL2"
"1557455_s_at"	"MOSPD1"
"1557458_s_at"	"SHB"
"1557487_at"	NA
"1557505_a_at"	NA
"1557512_at"	NA
"1557522_x_at"	"BLCAP"
"1557527_at"	NA
"1557538_at"	NA
"1557543_at"	NA
"1557551_at"	NA
"1557553_at"	"PPP1R12B"
"1557578_at"	"PHLDB2"
"1557611_at"	"TTLL4"
"1557632_at"	NA
"1557675_at"	"RAF1"
"1557684_at"	"ZNF286A"
"1557685_at"	"ASAP1"
"1557707_at"	NA
"1557712_x_at"	NA
"1557718_at"	"PPP2R5C"
"1557737_s_at"	"NKTR"
"1557751_at"	NA
"1557797_a_at"	NA
"1557804_at"	NA
"1557813_at"	NA
"1557814_a_at"	NA
"1557817_a_at"	NA
"1557820_at"	"AFG3L2"
"1557828_a_at"	"TMEM267"
"1557830_at"	NA
"1557852_at"	"PHC2"
"1557895_at"	"LINC02076"
"1557905_s_at"	"CD44"
"1557910_at"	"HSP90AB1"
"1557915_s_at"	"GSTO1"
"1557918_s_at"	"SLC16A1"
"1557938_s_at"	"CAVIN1"
"1557944_s_at"	"CTNND1"
"1557944_s_at"	"TMX2"
"1557950_at"	"NEMF"
"1557953_at"	"ZKSCAN1"
"1557954_at"	"TXLNG"
"1557961_s_at"	"C8orf88"
"1557965_at"	"MTERF4"
"1557966_x_at"	"MTERF4"
"1557984_s_at"	"RPAP3"
"1557985_s_at"	"CEP78"
"1557987_at"	NA
"1557996_at"	NA
"1558017_s_at"	"PAWR"
"1558027_s_at"	"PRKAB2"
"1558028_x_at"	"NORAD"
"1558041_a_at"	"KIAA0895L"
"1558044_s_at"	"EXOSC6"
"1558048_x_at"	NA
"1558078_at"	NA
"1558080_s_at"	"DNAJC3"
"1558093_s_at"	"MATR3"
"1558097_at"	"PRR14L"
"1558102_at"	"HDGFL3"
"1558111_at"	"MBNL1"
"1558136_s_at"	"TAF11"
"1558139_at"	"DUXAP8"
"1558142_at"	"TNRC6B"
"1558143_a_at"	"BCL2L11"
"1558199_at"	"FN1"
"1558201_s_at"	"SLC4A1AP"
"1558214_s_at"	"CTNNA1"
"1558215_s_at"	"UBTF"
"1558220_at"	NA
"1558233_s_at"	"ATF1"
"1558236_at"	"DR1"
"1558237_x_at"	"DR1"
"1558249_s_at"	"STX16"
"1558254_s_at"	"SRPK2"
"1558279_a_at"	"KDSR"
"1558290_a_at"	"PVT1"
"1558292_s_at"	"PIGW"
"1558304_s_at"	"TSEN54"
"1558331_at"	"SIRT2"
"1558407_at"	"PLEKHG2"
"1558410_s_at"	NA
"1558426_x_at"	"ORAI2"
"1558444_at"	NA
"1558459_s_at"	"GARS1"
"1558486_at"	"ZNF493"
"1558487_a_at"	"TMED4"
"1558511_s_at"	"ESYT2"
"1558515_at"	"FTX"
"1558517_s_at"	"LRRC8C"
"1558561_at"	"HM13"
"1558569_at"	NA
"1558605_at"	NA
"1558620_at"	"ZNF621"
"1558641_at"	"SPATA24"
"1558675_s_at"	"NEMF"
"1558678_s_at"	"MALAT1"
"1558685_a_at"	"CH17"
"1558688_at"	"STX17"
"1558692_at"	"GLMP"
"1558693_s_at"	"GLMP"
"1558700_s_at"	"ZNF260"
"1558703_at"	"SLC46A1"
"1558714_at"	NA
"1558732_at"	"MAP4K4"
"1558733_at"	"ZBTB38"
"1558738_at"	"NOL3"
"1558740_s_at"	NA
"1558761_a_at"	"FAM120AOS"
"1558783_at"	NA
"1558801_at"	"NNT"
"1558802_at"	"TM2D1"
"1558822_at"	NA
"1558828_s_at"	NA
"1558831_x_at"	NA
"1558836_at"	NA
"1558837_a_at"	NA
"1558854_a_at"	NA
"1558877_at"	NA
"1558922_at"	NA
"1558924_s_at"	"CLIP1"
"1558942_at"	"ZNF765"
"1558943_x_at"	"ZNF765"
"1558953_s_at"	"CEP164"
"1558956_s_at"	"IFT80"
"1558965_at"	"PHF21A"
"1558996_at"	"FOXP1"
"1559006_at"	NA
"1559020_a_at"	NA
"1559037_a_at"	NA
"1559038_at"	"SEPTIN2"
"1559039_at"	"DHX36"
"1559092_at"	"SLC9A5"
"1559096_x_at"	"FBXO9"
"1559101_at"	NA
"1559117_at"	NA
"1559154_at"	NA
"1559156_at"	NA
"1559232_a_at"	NA
"1559391_s_at"	NA
"1559394_a_at"	NA
"1559397_s_at"	"PRR14"
"1559399_s_at"	"ZCCHC10"
"1559401_a_at"	NA
"1559425_at"	NA
"1559436_x_at"	NA
"1559467_at"	NA
"1559490_at"	"LRCH3"
"1559496_at"	"PPA2"
"1559529_at"	"PTK2"
"1559530_at"	NA
"1559582_at"	"RHOQ"
"1559739_at"	"CHPT1"
"1559776_at"	NA
"1559814_at"	NA
"1559822_s_at"	"MTDH"
"1559881_s_at"	"ZNF12"
"1559901_s_at"	"MIR99AHG"
"1559946_s_at"	"RUVBL2"
"1559954_s_at"	"DDX42"
"1559957_a_at"	"LINC00205"
"1559964_at"	"LOC401261"
"1560026_at"	NA
"1560031_at"	"FRMD4A"
"1560049_at"	NA
"1560060_s_at"	"VPS37C"
"1560116_a_at"	"NEDD1"
"1560128_x_at"	"IRF1"
"1560145_at"	"MKLN1"
"1560199_x_at"	NA
"1560271_at"	NA
"1560296_at"	NA
"1560297_at"	NA
"1560327_at"	NA
"1560339_s_at"	"NAP1L4"
"1560342_at"	NA
"1560386_at"	NA
"1560443_at"	NA
"1560445_x_at"	"ARHGEF1"
"1560492_at"	NA
"1560500_at"	NA
"1560562_a_at"	"ZNF677"
"1560587_s_at"	"PRDX5"
"1560622_at"	NA
"1560659_at"	"LINC00342"
"1560661_x_at"	"LINC00342"
"1560680_at"	NA
"1560720_at"	"MKNK1"
"1560741_at"	"SNRPN"
"1560754_at"	"CMTM7"
"1560776_at"	NA
"1560813_at"	NA
"1560908_at"	NA
"1560916_a_at"	"DPY19L1"
"1560926_at"	NA
"1561079_at"	"ANKRD28"
"1561123_at"	NA
"1561167_at"	NA
"1561180_at"	"LRP11"
"1561195_at"	NA
