"From"	"To"
"214452_at"	"BCAT1"
"214453_s_at"	"IFI44"
"214454_at"	"ADAMTS2"
"214459_x_at"	"HLA"
"214464_at"	"CDC42BPA"
"214467_at"	"GPR65"
"214473_x_at"	"PMS2P3"
"214484_s_at"	"SIGMAR1"
"214486_x_at"	"CFLAR"
"214494_s_at"	"SPG7"
"214496_x_at"	"KAT6B"
"214499_s_at"	"BCLAF1"
"214500_at"	"MACROH2A1"
"214501_s_at"	"MACROH2A1"
"214505_s_at"	"FHL1"
"214507_s_at"	"EXOSC2"
"214508_x_at"	"CREM"
"214511_x_at"	"FCGR1B"
"214512_s_at"	"SUB1"
"214513_s_at"	"CREB1"
"214526_x_at"	"PMS2P1"
"214527_s_at"	"PQBP1"
"214531_s_at"	"SNX1"
"214532_x_at"	"POU5F1B"
"214535_s_at"	"ADAMTS2"
"214543_x_at"	"QKI"
"214544_s_at"	"SNAP23"
"214545_s_at"	"PLPBP"
"214548_x_at"	"GNAS"
"214550_s_at"	"TNPO3"
"214553_s_at"	"ARPP19"
"214574_x_at"	"LST1"
"214577_at"	"MAP1B"
"214578_s_at"	"ROCK1"
"214581_x_at"	"TNFRSF21"
"214585_s_at"	"VPS52"
"214594_x_at"	"ATP8B1"
"214595_at"	"KCNG1"
"214605_x_at"	"CMKLR2"
"214617_at"	"PRF1"
"214620_x_at"	"PAM"
"214625_s_at"	"MINK1"
"214626_s_at"	"GANAB"
"214629_x_at"	"RTN4"
"214632_at"	"NRP2"
"214643_x_at"	"BIN1"
"214649_s_at"	"MTMR2"
"214651_s_at"	"HOXA9"
"214651_s_at"	"HOXA10"
"214656_x_at"	"MYO1C"
"214657_s_at"	"NEAT1"
"214658_at"	"TMED7"
"214659_x_at"	"YLPM1"
"214661_s_at"	"NOP14"
"214662_at"	"WDR43"
"214663_at"	"DSTYK"
"214665_s_at"	"CHP1"
"214666_x_at"	"IREB2"
"214669_x_at"	"IGKC"
"214670_at"	"ZKSCAN1"
"214672_at"	"TTLL5"
"214677_x_at"	"IGLJ3"
"214677_x_at"	"IGLC1"
"214677_x_at"	"IGLC2"
"214677_x_at"	"IGLC3"
"214677_x_at"	"IGLV4"
"214677_x_at"	"IGLV3"
"214677_x_at"	"IGLV1"
"214677_x_at"	"CYAT1"
"214678_x_at"	"ZFX"
"214679_x_at"	"GNA11"
"214681_at"	"GK"
"214682_at"	"PKD1P6"
"214683_s_at"	"CLK1"
"214684_at"	"MEF2A"
"214686_at"	"ZNF266"
"214687_x_at"	"ALDOA"
"214692_s_at"	"JRK"
"214693_x_at"	"NBPF14"
"214693_x_at"	"NBPF1"
"214693_x_at"	"NBPF12"
"214693_x_at"	"NBPF11"
"214693_x_at"	"NBPF15"
"214693_x_at"	"NBPF9"
"214693_x_at"	"NBPF8"
"214693_x_at"	"NBPF10"
"214693_x_at"	"NBPF20"
"214693_x_at"	"NOTCH2NLB"
"214693_x_at"	"NBPF19"
"214693_x_at"	"NBPF26"
"214693_x_at"	"NBPF25P"
"214693_x_at"	"LOC102724250"
"214696_at"	"MIR22HG"
"214697_s_at"	"PTBP3"
"214698_at"	"PTBP3"
"214700_x_at"	"RIF1"
"214701_s_at"	"FN1"
"214702_at"	"FN1"
"214703_s_at"	"MAN2B2"
"214706_at"	"ZNF200"
"214707_x_at"	"ALMS1"
"214709_s_at"	"KTN1"
"214710_s_at"	"CCNB1"
"214711_at"	"GATC"
"214714_at"	"ZNF394"
"214715_x_at"	"ZNF160"
"214718_at"	"GATAD1"
"214720_x_at"	"SEPTIN10"
"214721_x_at"	"CDC42EP4"
"214722_at"	"NOTCH2NLA"
"214723_x_at"	"ANKRD36"
"214723_x_at"	"ANKRD36B"
"214724_at"	"DIXDC1"
"214726_x_at"	"ADD1"
"214728_x_at"	"SMARCA4"
"214730_s_at"	"GLG1"
"214731_at"	NA
"214733_s_at"	"YIPF1"
"214736_s_at"	"ADD1"
"214737_x_at"	"HNRNPC"
"214738_s_at"	"NEK9"
"214739_at"	"LRCH3"
"214740_at"	"POLR2J3"
"214741_at"	"ZNF131"
"214743_at"	"CUX1"
"214748_at"	"N4BP2L2"
"214749_s_at"	"ARMCX6"
"214751_at"	"ZNF468"
"214752_x_at"	"FLNA"
"214753_at"	"N4BP2L2"
"214755_at"	"UAP1L1"
"214756_x_at"	"PMS2P1"
"214760_at"	"ZNF337"
"214761_at"	"ZNF423"
"214763_at"	"ACOT11"
"214765_s_at"	"NAAA"
"214766_s_at"	"AHCTF1"
"214767_s_at"	"HSPB6"
"214770_at"	"MSR1"
"214771_x_at"	"MPRIP"
"214773_x_at"	"TIPRL"
"214778_at"	"MEGF8"
"214779_s_at"	"SGSM3"
"214780_s_at"	"MYO9B"
"214783_s_at"	"ANXA11"
"214784_x_at"	"XPO6"
"214785_at"	"VPS13A"
"214789_x_at"	"SRSF8"
"214790_at"	"SENP6"
"214791_at"	"SP140L"
"214794_at"	"PA2G4"
"214800_x_at"	"BTF3"
"214801_at"	"TOR1AIP2"
"214802_at"	"EXOC7"
"214804_at"	"CENPI"
"214805_at"	"EIF4A1"
"214806_at"	"BICD1"
"214807_at"	"PLXDC2"
"214808_at"	"TRIM56"
"214812_s_at"	"MOB1A"
"214814_at"	"YTHDC1"
"214815_at"	"TRIM33"
"214816_x_at"	"FAAP24"
"214828_s_at"	"RRP7BP"
"214828_s_at"	"RRP7A"
"214830_at"	"SLC38A6"
"214835_s_at"	"SUCLG2"
"214836_x_at"	"IGKC"
"214836_x_at"	"IGKV1"
"214836_x_at"	"IGKV2D"
"214836_x_at"	"IGKV2"
"214836_x_at"	"IGK"
"214840_at"	"TOM1L2"
"214843_s_at"	"USP33"
"214844_s_at"	"DOK5"
"214845_s_at"	"CALU"
"214848_at"	"YWHAZ"
"214850_at"	"GUSBP14"
"214853_s_at"	"SHC1"
"214855_s_at"	"RALGAPA1P1"
"214855_s_at"	"RALGAPA1"
"214864_s_at"	"GRHPR"
"214866_at"	"PLAUR"
"214869_x_at"	"GAPVD1"
"214870_x_at"	"NPIPA1"
"214870_x_at"	"PKD1P1"
"214870_x_at"	"NPIPA3"
"214870_x_at"	"NPIPA2"
"214870_x_at"	"NPIPB10P"
"214870_x_at"	"NPIPA5"
"214870_x_at"	"NPIPA7"
"214870_x_at"	"NPIPA8"
"214875_x_at"	"APLP2"
"214876_s_at"	"TUBGCP5"
"214879_x_at"	"USF2"
"214880_x_at"	"CALD1"
"214881_s_at"	"UBTF"
"214882_s_at"	"SRSF2"
"214890_s_at"	"FAM149A"
"214892_x_at"	"CACTIN"
"214894_x_at"	"MACF1"
"214894_x_at"	"KIAA0754"
"214895_s_at"	"ADAM10"
"214902_x_at"	NA
"214909_s_at"	"DDAH2"
"214911_s_at"	"BRD2"
"214918_at"	"HNRNPM"
"214919_s_at"	"EIF4EBP3"
"214919_s_at"	"ANKHD1"
"214920_at"	"THSD7A"
"214924_s_at"	"TRAK1"
"214925_s_at"	"SPTAN1"
"214927_at"	"ITGBL1"
"214931_s_at"	"SRPK2"
"214934_at"	"ATP9B"
"214937_x_at"	"PCM1"
"214938_x_at"	"HMGB1"
"214940_s_at"	"SMG6"
"214941_s_at"	"PRPF40A"
"214943_s_at"	"RBM34"
"214943_s_at"	"ARID4B"
"214946_x_at"	"WASHC2C"
"214946_x_at"	"WASHC2A"
"214948_s_at"	"TMF1"
"214949_at"	NA
"214953_s_at"	"APP"
"214960_at"	"API5"
"214964_at"	NA
"214965_at"	"SPATA2L"
"214981_at"	"POSTN"
"214986_x_at"	"PPIL2"
"214988_s_at"	"SON"
"214989_x_at"	"PLEKHA5"
"214989_x_at"	"SRSF11P1"
"214992_s_at"	"DNASE2"
"214999_s_at"	"RAB11FIP3"
"215000_s_at"	"FEZ2"
"215001_s_at"	"GLUL"
"215004_s_at"	"SUGP1"
"215006_at"	NA
"215009_s_at"	"THAP9"
"215012_at"	"ZNF451"
"215013_s_at"	"USP34"
"215016_x_at"	"DST"
"215017_s_at"	"FNBP1L"
"215024_at"	"CCZ1B"
"215026_x_at"	"SCNN1A"
"215030_at"	"GRSF1"
"215032_at"	"RREB1"
"215034_s_at"	"TM4SF1"
"215038_s_at"	"SETD2"
"215039_at"	"LINC01140"
"215043_s_at"	"GUSBP15"
"215043_s_at"	"GUSBP14"
"215043_s_at"	"GUSBP3"
"215049_x_at"	"CD163"
"215050_x_at"	"MAPKAPK2"
"215051_x_at"	"AIF1"
"215054_at"	"EPOR"
"215054_at"	"RGL3"
"215062_at"	NA
"215063_x_at"	"LRRC40"
"215067_x_at"	"PRDX2"
"215068_s_at"	"FBXL18"
"215070_x_at"	"RABGAP1"
"215070_x_at"	"GPR21"
"215071_s_at"	"H2AC6"
"215073_s_at"	"NR2F2"
"215075_s_at"	"GRB2"
"215076_s_at"	"COL3A1"
"215077_at"	NA
"215083_at"	NA
"215084_s_at"	"LRRC42"
"215088_s_at"	"SDHC"
"215089_s_at"	"RBM10"
"215090_x_at"	"NPEPPSP1"
"215091_s_at"	"GTF3A"
"215093_at"	"NSDHL"
"215096_s_at"	"ESD"
"215111_s_at"	"TSC22D1"
"215113_s_at"	"SENP3"
"215113_s_at"	"SENP3"
"215116_s_at"	"DNM1"
"215121_x_at"	"IGLC1"
"215121_x_at"	"IGLC2"
"215121_x_at"	"IGLC3"
"215121_x_at"	"IGLV4"
"215121_x_at"	"IGLV3"
"215121_x_at"	"IGLV1"
"215121_x_at"	"IGLJ3"
"215121_x_at"	"IGLC7"
"215121_x_at"	"CYAT1"
"215121_x_at"	"IGLL5"
"215123_at"	"NPIPB3"
"215123_at"	"NPIPB4"
"215123_at"	"NPIPA3"
"215123_at"	"NPIPA2"
"215123_at"	"NPIPB11"
"215123_at"	"NPIPB5"
"215127_s_at"	"RBMS1"
"215136_s_at"	"EXOSC8"
"215137_at"	NA
"215139_at"	"ARHGEF10"
"215146_s_at"	"TTC28"
"215147_at"	NA
"215148_s_at"	"APBA3"
"215155_at"	"HEXA"
"215156_at"	"WDR61"
"215157_x_at"	"PABPC1"
"215158_s_at"	"DEDD"
"215160_x_at"	"FRG1CP"
"215162_at"	"RALGAPA1"
"215164_at"	NA
"215165_x_at"	"UMPS"
"215171_s_at"	"TIMM17A"
"215175_at"	"PCNX1"
"215176_x_at"	"IGKV1D"
"215176_x_at"	"IGKV1"
"215177_s_at"	"ITGA6"
"215179_x_at"	"PGF"
"215182_x_at"	NA
"215185_at"	"LINC00963"
"215191_at"	NA
"215193_x_at"	"HLA"
"215193_x_at"	"HLA"
"215193_x_at"	"HLA"
"215198_s_at"	"CALD1"
"215199_at"	"CALD1"
"215201_at"	"REPS1"
"215203_at"	"GOLGA4"
"215204_at"	NA
"215206_at"	NA
"215208_x_at"	"RPL35A"
"215209_at"	"SEC24D"
"215210_s_at"	"DLSTP1"
"215210_s_at"	"DLST"
"215212_at"	NA
"215214_at"	"IGLV3"
"215218_s_at"	"WDR62"
"215221_at"	NA
"215222_x_at"	"MACF1"
"215222_x_at"	"KIAA0754"
"215223_s_at"	"SOD2"
"215223_s_at"	"SOD2"
"215227_x_at"	"ACP1"
"215230_x_at"	"EIF3C"
"215230_x_at"	"EIF3CL"
"215235_at"	"SPTAN1"
"215236_s_at"	"PICALM"
"215245_x_at"	"FMR1"
"215248_at"	"GRB10"
"215252_at"	NA
"215253_s_at"	"RCAN1"
"215260_s_at"	"TCF3"
"215268_at"	"MACF1"
"215268_at"	"KIAA0754"
"215269_at"	"TRAPPC10"
"215273_s_at"	"TADA3"
"215279_at"	NA
"215281_x_at"	"POGZ"
"215283_at"	"LINC00667"
"215287_at"	"STRN"
"215293_s_at"	"PGAP2"
"215294_s_at"	"SMARCA1"
"215296_at"	"CDC42BPA"
"215299_x_at"	"SULT1A1"
"215305_at"	"PDGFRA"
"215307_at"	"ZNF529"
"215313_x_at"	"HLA"
"215318_at"	"MICOS10P1"
"215322_at"	"LONRF1"
"215329_s_at"	"CDK11B"
"215329_s_at"	"CDK11A"
"215333_x_at"	"GSTM1"
"215336_at"	"AKAP11"
"215338_s_at"	"NKTR"
"215342_s_at"	"RABGAP1L"
"215346_at"	"CD40"
"215353_at"	NA
"215354_s_at"	"PELP1"
"215359_x_at"	"ZNF44"
"215371_at"	"MED27"
"215372_x_at"	"MAGI1"
"215373_x_at"	NA
"215374_at"	"PAPOLA"
"215375_x_at"	"LRRFIP1"
"215379_x_at"	"IGLC2"
"215379_x_at"	"IGLC3"
"215379_x_at"	"IGLV3"
"215379_x_at"	"IGLV3"
"215379_x_at"	"IGLV1"
"215379_x_at"	"IGLJ3"
"215379_x_at"	"IGLJ2"
"215379_x_at"	"BMS1P20"
"215379_x_at"	"IGLL5"
"215380_s_at"	"GGCT"
"215382_x_at"	"TPSAB1"
"215382_x_at"	"TPSB2"
"215383_x_at"	"SPG21"
"215385_at"	NA
"215387_x_at"	NA
"215388_s_at"	"CFHR1"
"215388_s_at"	"CFH"
"215390_at"	NA
"215392_at"	NA
"215399_s_at"	"OS9"
"215404_x_at"	"FGFR1"
"215411_s_at"	"TRAF3IP2"
"215416_s_at"	"STOML2"
"215418_at"	"PARVA"
"215424_s_at"	"SNW1"
"215429_s_at"	"ZNF428"
"215434_x_at"	"NBPF1"
"215434_x_at"	"NBPF10"
"215434_x_at"	"NBPF19"
"215434_x_at"	"LOC102724250"
"215435_at"	NA
"215438_x_at"	"GSPT1"
"215439_x_at"	NA
"215440_s_at"	"BEX4"
"215446_s_at"	"LOX"
"215447_at"	NA
"215450_at"	"SNRPE"
"215452_x_at"	"SUMO4"
"215454_x_at"	"SFTPC"
"215460_x_at"	"BRD1"
"215462_at"	"PLK3"
"215464_s_at"	"TAX1BP3"
"215464_s_at"	"P2RX5"
"215470_at"	"GTF2H2B"
"215482_s_at"	"EIF2B4"
"215483_at"	"AKAP9"
"215485_s_at"	"ICAM1"
"215489_x_at"	"HOMER3"
"215492_x_at"	"PTCRA"
"215493_x_at"	"BTN2A1"
"215497_s_at"	"WDTC1"
"215498_s_at"	"MAP2K3"
"215499_at"	"MAP2K3"
"215501_s_at"	"DUSP10"
"215504_x_at"	"ANKRD10"
"215513_at"	"HYMAI"
"215519_x_at"	"SGSM3"
"215528_at"	NA
"215529_x_at"	"DIP2A"
"215533_s_at"	"UBE4B"
"215535_s_at"	"AGPAT1"
"215537_x_at"	"DDAH2"
"215543_s_at"	"LARGE1"
"215544_s_at"	"UBOX5"
"215548_s_at"	"SCFD1"
"215553_x_at"	NA
"215566_x_at"	"LYPLA2"
"215567_at"	"FCF1"
"215568_x_at"	"LYPLA2"
"215577_at"	NA
"215587_x_at"	NA
"215588_x_at"	"RIOK3"
"215595_x_at"	NA
"215596_s_at"	"LTN1"
"215599_at"	"GUSBP14"
"215599_at"	"GUSBP3"
"215600_x_at"	"FBXW12"
"215604_x_at"	NA
"215606_s_at"	"ERC1"
"215608_at"	NA
"215609_at"	NA
"215613_at"	"ADAM12"
"215616_s_at"	"KDM4B"
"215617_at"	"SPATS2L"
"215623_x_at"	"SMC4"
"215628_x_at"	NA
"215629_s_at"	"DLEU2"
"215629_s_at"	"DLEU2L"
"215631_s_at"	"BRMS1"
"215633_x_at"	"LST1"
"215640_at"	"TBC1D2B"
"215641_at"	"SEC24D"
"215645_at"	"FLCN"
"215646_s_at"	"VCAN"
"215648_at"	NA
"215667_x_at"	"PMS2P1"
"215667_x_at"	"PMS2P2"
"215667_x_at"	"PMS2P5"
"215667_x_at"	"PMS2P13"
"215667_x_at"	"PMS2P6"
"215667_x_at"	"PMS2P7"
"215667_x_at"	"PMS2P10"
"215684_s_at"	"ASCC2"
"215690_x_at"	"GPAA1"
"215691_x_at"	"HSPB11"
"215693_x_at"	"DDX27"
"215695_s_at"	"GYG2"
"215696_s_at"	"SEC16A"
"215698_at"	"KDM5A"
"215706_x_at"	"ZYX"
"215707_s_at"	"PRNP"
"215714_s_at"	"SMARCA4"
"215716_s_at"	"ATP2B1"
"215718_s_at"	"PHF3"
"215719_x_at"	"FAS"
"215720_s_at"	"NFYA"
"215722_s_at"	"SNRPA1"
"215726_s_at"	"CYB5A"
"215728_s_at"	"ACOT7"
"215735_s_at"	"TSC2"
"215737_x_at"	"USF2"
"215741_x_at"	"AKAP8L"
"215747_s_at"	"RCC1"
"215749_s_at"	"GORASP1"
"215750_at"	NA
"215754_at"	"SCARB2"
"215758_x_at"	"ZNF93"
"215760_s_at"	"SBNO2"
"215764_x_at"	"AP2A2"
"215772_x_at"	"SUCLG2"
"215773_x_at"	"PARP2"
"215778_x_at"	NA
"215780_s_at"	"SET"
"215785_s_at"	"CYFIP2"
"215786_at"	NA
"215791_at"	NA
"215792_s_at"	"DNAJC11"
"215794_x_at"	"GLUD2"
"215812_s_at"	"SLC6A8"
"215812_s_at"	"SLC6A10P"
"215812_s_at"	"SLC6A10PB"
"215823_x_at"	"PABPC1"
"215823_x_at"	"RLIM"
"215828_at"	NA
"215832_x_at"	"PICALM"
"215836_s_at"	"PCDHGC3"
"215836_s_at"	"PCDHGB4"
"215836_s_at"	"PCDHGA8"
"215836_s_at"	"PCDHGA12"
"215836_s_at"	"PCDHGC5"
"215836_s_at"	"PCDHGC4"
"215836_s_at"	"PCDHGB7"
"215836_s_at"	"PCDHGB6"
"215836_s_at"	"PCDHGB5"
"215836_s_at"	"PCDHGB3"
"215836_s_at"	"PCDHGB2"
"215836_s_at"	"PCDHGB1"
"215836_s_at"	"PCDHGA11"
"215836_s_at"	"PCDHGA10"
"215836_s_at"	"PCDHGA9"
"215836_s_at"	"PCDHGA7"
"215836_s_at"	"PCDHGA6"
"215836_s_at"	"PCDHGA5"
"215836_s_at"	"PCDHGA4"
"215836_s_at"	"PCDHGA3"
"215836_s_at"	"PCDHGA2"
"215836_s_at"	"PCDHGA1"
"215844_at"	"TNPO2"
"215855_s_at"	"TMF1"
"215863_at"	"TFR2"
"215867_x_at"	"CA12"
"215873_x_at"	"ABCC10"
"215884_s_at"	"UBQLN2"
"215888_at"	"PDS5B"
"215903_s_at"	"MAST2"
"215905_s_at"	"SNRNP40"
"215907_at"	NA
"215908_at"	NA
"215913_s_at"	"GULP1"
"215919_s_at"	"MRPS11"
"215920_s_at"	"PDXDC2P"
"215920_s_at"	"NPIPB15"
"215920_s_at"	"NPIPA3"
"215920_s_at"	"NPIPA2"
"215920_s_at"	"NPIPB11"
"215920_s_at"	"NPIPA5"
"215920_s_at"	"NPIPB9"
"215920_s_at"	"NPIPA8"
"215921_at"	"NPIPB3"
"215921_at"	"NPIPB4"
"215921_at"	"NPIPB11"
"215921_at"	"NPIPB5"
"215926_x_at"	"SNAPC4"
"215933_s_at"	"HHEX"
"215936_s_at"	"WASHC4"
"215942_s_at"	"GTSE1"
"215946_x_at"	"IGLL3P"
"215947_s_at"	"OAZ1"
"215947_s_at"	"FAM136A"
"215949_x_at"	"IGHM"
"215949_x_at"	"IGHV3"
"215949_x_at"	"IGHV3"
"215952_s_at"	"OAZ1"
"215963_x_at"	"RPL3"
"215978_x_at"	"ZNF721"
"215982_s_at"	"DXO"
"215983_s_at"	"UBXN8"
"215984_s_at"	"ARFRP1"
"215990_s_at"	"BCL6"
"215992_s_at"	"RAPGEF2"
"215994_x_at"	"TBC1D9B"
"215997_s_at"	"CUL4B"
"216005_at"	"TNC"
"216008_s_at"	"ARIH2"
"216022_at"	NA
"216026_s_at"	"POLE"
"216028_at"	NA
"216032_s_at"	"ERGIC3"
"216033_s_at"	"FYN"
"216035_x_at"	"TCF7L2"
"216037_x_at"	"TCF7L2"
"216038_x_at"	"DAXX"
"216041_x_at"	"GRN"
"216044_x_at"	"DIPK1A"
"216048_s_at"	"RHOBTB3"
"216051_x_at"	"PRINS"
"216060_s_at"	"DAAM1"
"216061_x_at"	"PDGFB"
"216064_s_at"	"AGA"
"216071_x_at"	"MED12"
"216076_at"	"L3MBTL1"
"216080_s_at"	"FADS3"
"216081_at"	"LAMA4"
"216088_s_at"	"PSMA7"
"216092_s_at"	"SLC7A8"
"216095_x_at"	"MTMR1"
"216100_s_at"	"TOR1AIP1"
"216101_at"	NA
"216105_x_at"	"PTPA"
"216109_at"	"MED13L"
"216111_x_at"	"PMS2P3"
"216115_at"	"NF1"
"216125_s_at"	"RANBP9"
"216129_at"	"ATP9A"
"216147_at"	NA
"216153_x_at"	"RECK"
"216176_at"	NA
"216180_s_at"	"SYNJ2"
"216187_x_at"	NA
"216194_s_at"	"TBCB"
"216197_at"	NA
"216199_s_at"	"MAP3K4"
"216202_s_at"	"SPTLC2"
"216207_x_at"	"IGKV1D"
"216210_x_at"	"TRIOBP"
"216212_s_at"	"DKC1"
"216215_s_at"	"RBFOX2"
"216218_s_at"	"PLCL2"
"216220_s_at"	"ADORA1"
"216221_s_at"	"PUM2"
"216224_s_at"	"HDAC6"
"216228_s_at"	"WDHD1"
"216229_x_at"	NA
"216231_s_at"	"B2M"
"216232_s_at"	"GCN1"
"216235_s_at"	"EDNRA"
"216236_s_at"	"SLC2A14"
"216236_s_at"	"SLC2A3"
"216237_s_at"	"MCM5"
"216241_s_at"	"TCEA1"
"216242_x_at"	"POLR2J4"
"216242_x_at"	"POLR2J2"
"216242_x_at"	"POLR2J3"
"216246_at"	NA
"216248_s_at"	"NR4A2"
"216250_s_at"	"LPXN"
"216251_s_at"	"TTLL12"
"216252_x_at"	"FAS"
"216262_s_at"	"TGIF2"
"216264_s_at"	"LAMB2"
"216266_s_at"	"ARFGEF1"
"216267_s_at"	"TMEM115"
"216268_s_at"	"JAG1"
"216272_x_at"	"SYDE1"
"216274_s_at"	"SEC11A"
"216293_at"	"CLTA"
"216295_s_at"	"CLTA"
"216300_x_at"	"RARA"
"216304_x_at"	"YME1L1"
"216305_s_at"	"GCFC2"
"216306_x_at"	"PTBP1"
"216308_x_at"	"GRHPR"
"216309_x_at"	"JRK"
"216310_at"	"TAOK1"
"216320_x_at"	"MST1"
"216321_s_at"	"NR3C1"
"216323_x_at"	"TUBA3D"
"216326_s_at"	"HDAC3"
"216331_at"	"ITGA7"
"216333_x_at"	"TNXB"
"216333_x_at"	"TNXA"
"216336_x_at"	"MT1E"
"216338_s_at"	"YIPF3"
"216342_x_at"	NA
"216347_s_at"	"PPP1R13B"
"216348_at"	NA
"216379_x_at"	"CD24"
"216380_x_at"	NA
"216381_x_at"	"AKR7A3"
"216383_at"	NA
"216384_x_at"	"PTMA"
"216387_x_at"	NA
"216392_s_at"	"SEC23IP"
"216396_s_at"	"EI24"
"216438_s_at"	"TMSB4X"
"216442_x_at"	"FN1"
"216449_x_at"	"HSP90B1"
"216450_x_at"	"HSP90B1"
"216457_s_at"	"SF3A1"
"216474_x_at"	"TPSAB1"
"216474_x_at"	"TPSB2"
"216483_s_at"	"MYDGF"
"216484_x_at"	NA
"216505_x_at"	NA
"216508_x_at"	NA
"216511_s_at"	"TCF7L2"
"216515_x_at"	"MIR1244"
"216515_x_at"	"MIR1244"
"216515_x_at"	"MIR1244"
"216515_x_at"	"MIR1244"
"216520_s_at"	"TPT1"
"216524_x_at"	NA
"216525_x_at"	"PMS2P3"
"216526_x_at"	"HLA"
"216532_x_at"	NA
"216547_at"	NA
"216550_x_at"	"ANKRD12"
"216551_x_at"	"PLCG1"
"216559_x_at"	NA
"216565_x_at"	NA
"216570_x_at"	NA
"216574_s_at"	"RPE"
"216574_s_at"	"RPEL1"
"216583_x_at"	NA
"216591_s_at"	"SDHC"
"216593_s_at"	"PIGC"
"216594_x_at"	"AKR1C1"
"216598_s_at"	"CCL2"
"216602_s_at"	"FARSA"
"216604_s_at"	"SLC7A8"
"216606_x_at"	"LYPLA2"
"216606_x_at"	"LYPLA2P1"
"216607_s_at"	"CYP51A1"
"216607_s_at"	"LRRD1"
"216609_at"	"TXN"
"216614_at"	NA
"216620_s_at"	"ARHGEF10"
"216621_at"	NA
"216628_at"	NA
"216640_s_at"	"PDIA6"
"216652_s_at"	"DR1"
"216671_x_at"	"MUC8"
"216680_s_at"	"EPHB4"
"216682_s_at"	"SUPT20H"
"216684_s_at"	"SS18"
"216693_x_at"	"HDGFL3"
"216705_s_at"	"ADA"
"216711_s_at"	"TAF1"
"216713_at"	"KRIT1"
"216733_s_at"	"GATM"
"216745_x_at"	NA
"216765_at"	"MAP2K5"
"216804_s_at"	"PDLIM5"
"216813_at"	NA
"216834_at"	"RGS1"
"216835_s_at"	"DOK1"
"216836_s_at"	"ERBB2"
"216840_s_at"	"LAMA2"
"216841_s_at"	"SOD2"
"216841_s_at"	"SOD2"
"216843_x_at"	"PMS2P1"
"216858_x_at"	NA
"216859_x_at"	NA
"216862_s_at"	"CMC4"
"216863_s_at"	"MORC2"
"216870_x_at"	"DLEU2"
"216873_s_at"	"ATP8B2"
"216875_x_at"	NA
"216883_x_at"	"PDE6D"
"216894_x_at"	"CDKN1C"
"216899_s_at"	"SKAP2"
"216902_s_at"	"RRN3"
"216902_s_at"	"RRN3P2"
"216902_s_at"	"RRN3P1"
"216903_s_at"	"MICU1"
"216908_x_at"	"RRN3P1"
"216913_s_at"	"RRP12"
"216915_s_at"	"PTPN12"
"216941_s_at"	"TAF1B"
"216942_s_at"	"CD58"
"216944_s_at"	"ITPR1"
"216949_s_at"	"PKD1"
"216950_s_at"	"FCGR1A"
"216950_s_at"	"FCGR1CP"
"216952_s_at"	"LMNB2"
"216954_x_at"	"ATP5PO"
"216958_s_at"	"IVD"
"216960_s_at"	"ZNF133"
"216971_s_at"	"PLEC"
"216973_s_at"	"HOXB7"
"216976_s_at"	"RYK"
"216977_x_at"	"SNRPA1"
"216983_s_at"	"ZNF224"
"216988_s_at"	"PTP4A2"
"216996_s_at"	"FASTKD2"
"217022_s_at"	"IGH"
"217022_s_at"	"IGHA1"
"217022_s_at"	"IGHA2"
"217023_x_at"	"TPSAB1"
"217023_x_at"	"TPSB2"
"217025_s_at"	"DBN1"
"217027_x_at"	NA
"217028_at"	"CXCR4"
"217043_s_at"	"MFN1"
"217047_s_at"	"FAM13A"
"217055_x_at"	"SLC1A2"
"217066_s_at"	"DMPK"
"217092_x_at"	NA
"217094_s_at"	"ITCH"
"217100_s_at"	"UBXN7"
"217106_x_at"	"DIMT1"
"217118_s_at"	"KIAA0930"
"217122_s_at"	"SLC35E2A"
"217122_s_at"	"SLC35E2B"
"217127_at"	"CTH"
"217135_x_at"	NA
"217137_x_at"	NA
"217140_s_at"	"VDAC1"
"217141_at"	"BTBD7"
"217142_at"	NA
"217144_at"	NA
"217152_at"	NA
"217161_x_at"	"ACAN"
"217164_at"	NA
"217165_x_at"	"MT1F"
"217168_s_at"	"HERPUD1"
"217182_at"	"MUC5AC"
"217185_s_at"	"ZPR1"
"217185_s_at"	"ZPR1P1"
"217188_s_at"	"ERG28"
"217196_s_at"	"CAMSAP2"
"217200_x_at"	"CYB561"
"217202_s_at"	"GLUL"
"217208_s_at"	"DLG1"
"217211_at"	NA
"217221_x_at"	"RBM10"
"217225_x_at"	"NOMO2"
"217225_x_at"	"NOMO1"
"217225_x_at"	"NOMO3"
"217225_x_at"	"LOC102723728"
"217226_s_at"	"SFXN3"
"217232_x_at"	"HBB"
"217234_s_at"	"EZR"
"217249_x_at"	"COX7A2P2"
"217256_x_at"	NA
"217264_s_at"	"SCNN1A"
"217266_at"	"RPL15"
"217279_x_at"	"MMP14"
"217286_s_at"	"NDRG3"
"217294_s_at"	"ENO1"
"217297_s_at"	"MYO9B"
"217299_s_at"	"NBN"
"217301_x_at"	"RBBP4"
"217313_at"	NA
"217317_s_at"	"HERC2P2"
"217317_s_at"	"HERC2P9"
"217322_x_at"	NA
"217329_x_at"	NA
"217346_at"	NA
"217356_s_at"	"PGK1"
"217363_x_at"	NA
"217364_x_at"	NA
"217367_s_at"	"ZHX3"
"217369_at"	"IGHG1"
"217369_at"	"IGHV4"
"217369_at"	"IGHV3"
